"sample","color_by","shape_by","observed","x","y"
"20","1","1","TRUE",6.70630005916737,5.85179695219661
"201","1","1","TRUE",4.73208752482703,4.34978158129701
"204","1","1","TRUE",1.26593366269847,8.94616286112012
"208","1","1","TRUE",-11.9064820463908,-7.68259194086967
"209","1","1","TRUE",15.274650166575,-6.42162118727189
"212","1","1","TRUE",-13.5025137533368,2.08250570201451
"215","1","1","TRUE",15.2945820835802,4.91009942551817
"216","1","1","TRUE",6.67974314331934,3.65001920097901
"217","1","1","TRUE",7.75809119806281,-8.55616126196911
"220","1","1","TRUE",-3.8475678802008,-13.130753666971
"221","1","1","TRUE",-11.2341754970375,-1.40486311528803
"223","1","1","TRUE",-0.382030928735838,-11.7580955196282
"224","1","1","TRUE",-7.51640123776231,-16.6598750208957
"225","1","1","TRUE",1.76879487338068,-6.92912202891225
"226","1","1","TRUE",-7.26343009594916,-6.32126147991175
"228","1","1","TRUE",10.0380064409421,4.52929375139383
"229","1","1","TRUE",-3.18806563330758,19.5172218428999
"23","1","1","TRUE",1.72130568086449,9.67342988375992
"231","1","1","TRUE",-11.34099572073,13.0280118612255
"234","1","1","TRUE",1.67996106064817,-8.70831794606014
"237","1","1","TRUE",9.10493500328768,7.1497997861657
"238","1","1","TRUE",4.76355898543912,-16.3325534127549
"239","1","1","TRUE",-8.52449202621685,-1.25533349209179
"24","1","1","TRUE",-6.84399970249989,-6.53164173279745
"240","1","1","TRUE",2.97950484268532,-3.02660106322251
"242","1","1","TRUE",2.29341647562021,0.875025242585105
"243","1","1","TRUE",2.71923538131504,-15.3815113581859
"244","1","1","TRUE",1.43102940037402,-0.0757134090314479
"245","1","1","TRUE",0.593503995736197,5.62598743729284
"247","1","1","TRUE",9.613597732971,-0.947558212156558
"248","1","1","TRUE",-8.50426861357525,13.8318666144917
"249","1","1","TRUE",-9.23158155152624,11.903462268617
"25","1","1","TRUE",11.4093891434275,8.43142940698395
"250","1","1","TRUE",13.7481299964705,4.39790993246126
"251","1","1","TRUE",16.4560024229832,1.06213146953664
"252","1","1","TRUE",-12.1605321663506,8.5439337183668
"253","1","1","TRUE",-0.260567332284488,-13.3586680480602
"255","1","1","TRUE",-7.51844131407105,11.6088698364708
"256","1","1","TRUE",-2.68315610135836,9.45316547041763
"257","1","1","TRUE",0.943189230530509,4.2011072110726
"258","1","1","TRUE",-2.59787524314891,3.13656879071929
"261","1","1","TRUE",8.45524216708541,-3.34400641546192
"262","1","1","TRUE",-1.56432320762714,9.85290520314762
"264","1","1","TRUE",12.5888796511614,-4.38904165165831
"265","1","1","TRUE",3.43184647400548,8.82441214222565
"268","1","1","TRUE",12.3669821712238,-7.59613626332949
"269","1","1","TRUE",-14.0788237259086,9.33256348452635
"270","1","1","TRUE",4.48794934031408,-11.1653313070772
"272","1","1","TRUE",6.2170684951181,11.1238300630086
"273","1","1","TRUE",6.10314195172907,-3.61143120316356
"275","1","1","TRUE",-4.66635817764505,5.47662901459246
"276","1","1","TRUE",5.21153448368124,20.0300647919668
"277","1","1","TRUE",0.420629516907143,-17.4596036635674
"279","1","1","TRUE",-14.2908987922095,7.16549165330035
"28","1","1","TRUE",-1.44129859392726,10.225912534501
"281","1","1","TRUE",9.85630907032309,0.770851122218909
"284","1","1","TRUE",-13.9035411092077,5.23748945135832
"285","1","1","TRUE",-7.6485941615275,-15.2064709050818
"286","1","1","TRUE",1.80286597791175,-16.7840163415471
"288","1","1","TRUE",4.49572598242104,-14.7084952901055
"290","1","1","TRUE",7.59930367284694,13.4587131003653
